enrollment_id,student_id,course_code,presentation,status,final_result,credits
OULAD-129955-AAA-2013J,OULAD-129955,AAA,2013J,Withdrawn,Withdrawn,0
OULAD-188278-AAA-2013J,OULAD-188278,AAA,2013J,Withdrawn,Withdrawn,0
OULAD-260355-AAA-2013J,OULAD-260355,AAA,2013J,Withdrawn,Withdrawn,0
OULAD-331358-AAA-2013J,OULAD-331358,AAA,2013J,Withdrawn,Withdrawn,0
OULAD-2139353-AAA-2013J,OULAD-2139353,AAA,2013J,Withdrawn,Withdrawn,0
OULAD-2318055-AAA-2013J,OULAD-2318055,AAA,2013J,Withdrawn,Withdrawn,0
OULAD-2429854-AAA-2013J,OULAD-2429854,AAA,2013J,Withdrawn,Withdrawn,0
OULAD-129955-AAA-2014J,OULAD-129955,AAA,2014J,Withdrawn,Withdrawn,0
OULAD-188278-AAA-2014J,OULAD-188278,AAA,2014J,Completed,Pass,30
OULAD-260355-AAA-2014J,OULAD-260355,AAA,2014J,Withdrawn,Withdrawn,0
OULAD-331358-AAA-2014J,OULAD-331358,AAA,2014J,Completed,Distinction,30
OULAD-2139353-AAA-2014J,OULAD-2139353,AAA,2014J,Completed,Pass,30
OULAD-2318055-AAA-2014J,OULAD-2318055,AAA,2014J,Completed,Pass,30
OULAD-2429854-AAA-2014J,OULAD-2429854,AAA,2014J,Completed,Fail,0
OULAD-2596621-AAA-2014J,OULAD-2596621,AAA,2014J,Completed,Pass,30
OULAD-34431-BBB-2013B,OULAD-34431,BBB,2013B,Withdrawn,Withdrawn,0
OULAD-52899-BBB-2013B,OULAD-52899,BBB,2013B,Withdrawn,Withdrawn,0
OULAD-142324-BBB-2013B,OULAD-142324,BBB,2013B,Completed,Fail,0
OULAD-242149-BBB-2013B,OULAD-242149,BBB,2013B,Withdrawn,Withdrawn,0
OULAD-252652-BBB-2013B,OULAD-252652,BBB,2013B,Withdrawn,Withdrawn,0
OULAD-340831-BBB-2013B,OULAD-340831,BBB,2013B,Withdrawn,Withdrawn,0
OULAD-393327-BBB-2013B,OULAD-393327,BBB,2013B,Withdrawn,Withdrawn,0
OULAD-425817-BBB-2013B,OULAD-425817,BBB,2013B,Withdrawn,Withdrawn,0
OULAD-431071-BBB-2013B,OULAD-431071,BBB,2013B,Withdrawn,Withdrawn,0
OULAD-476816-BBB-2013B,OULAD-476816,BBB,2013B,Withdrawn,Withdrawn,0
OULAD-483411-BBB-2013B,OULAD-483411,BBB,2013B,Completed,Fail,0
OULAD-495324-BBB-2013B,OULAD-495324,BBB,2013B,Withdrawn,Withdrawn,0
OULAD-495875-BBB-2013B,OULAD-495875,BBB,2013B,Withdrawn,Withdrawn,0
OULAD-526506-BBB-2013B,OULAD-526506,BBB,2013B,Withdrawn,Withdrawn,0
OULAD-528175-BBB-2013B,OULAD-528175,BBB,2013B,Withdrawn,Withdrawn,0
OULAD-533512-BBB-2013B,OULAD-533512,BBB,2013B,Withdrawn,Withdrawn,0
OULAD-534830-BBB-2013B,OULAD-534830,BBB,2013B,Withdrawn,Withdrawn,0
OULAD-540530-BBB-2013B,OULAD-540530,BBB,2013B,Completed,Fail,0
OULAD-546202-BBB-2013B,OULAD-546202,BBB,2013B,Completed,Fail,0
OULAD-549873-BBB-2013B,OULAD-549873,BBB,2013B,Withdrawn,Withdrawn,0
OULAD-557351-BBB-2013B,OULAD-557351,BBB,2013B,Completed,Fail,0
OULAD-1730702-BBB-2013B,OULAD-1730702,BBB,2013B,Withdrawn,Withdrawn,0
OULAD-2300911-BBB-2013B,OULAD-2300911,BBB,2013B,Withdrawn,Withdrawn,0
OULAD-52899-BBB-2013J,OULAD-52899,BBB,2013J,Completed,Pass,30
OULAD-151917-BBB-2013J,OULAD-151917,BBB,2013J,Completed,Fail,0
OULAD-156788-BBB-2013J,OULAD-156788,BBB,2013J,Withdrawn,Withdrawn,0
OULAD-242149-BBB-2013J,OULAD-242149,BBB,2013J,Completed,Fail,0
OULAD-252652-BBB-2013J,OULAD-252652,BBB,2013J,Withdrawn,Withdrawn,0
OULAD-266744-BBB-2013J,OULAD-266744,BBB,2013J,Withdrawn,Withdrawn,0
OULAD-272617-BBB-2013J,OULAD-272617,BBB,2013J,Withdrawn,Withdrawn,0
OULAD-276925-BBB-2013J,OULAD-276925,BBB,2013J,Withdrawn,Withdrawn,0
OULAD-303617-BBB-2013J,OULAD-303617,BBB,2013J,Completed,Fail,0
OULAD-393327-BBB-2013J,OULAD-393327,BBB,2013J,Completed,Pass,30
OULAD-425817-BBB-2013J,OULAD-425817,BBB,2013J,Completed,Fail,0
OULAD-431071-BBB-2013J,OULAD-431071,BBB,2013J,Completed,Fail,0
OULAD-473509-BBB-2013J,OULAD-473509,BBB,2013J,Withdrawn,Withdrawn,0
OULAD-476816-BBB-2013J,OULAD-476816,BBB,2013J,Completed,Fail,0
OULAD-495875-BBB-2013J,OULAD-495875,BBB,2013J,Completed,Fail,0
OULAD-500279-BBB-2013J,OULAD-500279,BBB,2013J,Withdrawn,Withdrawn,0
OULAD-526506-BBB-2013J,OULAD-526506,BBB,2013J,Withdrawn,Withdrawn,0
OULAD-549873-BBB-2013J,OULAD-549873,BBB,2013J,Completed,Fail,0
OULAD-551515-BBB-2013J,OULAD-551515,BBB,2013J,Withdrawn,Withdrawn,0
OULAD-554243-BBB-2013J,OULAD-554243,BBB,2013J,Completed,Fail,0
OULAD-559685-BBB-2013J,OULAD-559685,BBB,2013J,Completed,Fail,0
OULAD-570177-BBB-2013J,OULAD-570177,BBB,2013J,Withdrawn,Withdrawn,0
OULAD-571540-BBB-2013J,OULAD-571540,BBB,2013J,Withdrawn,Withdrawn,0
OULAD-579255-BBB-2013J,OULAD-579255,BBB,2013J,Withdrawn,Withdrawn,0
OULAD-583179-BBB-2013J,OULAD-583179,BBB,2013J,Withdrawn,Withdrawn,0
OULAD-595047-BBB-2013J,OULAD-595047,BBB,2013J,Withdrawn,Withdrawn,0
OULAD-602011-BBB-2013J,OULAD-602011,BBB,2013J,Withdrawn,Withdrawn,0
OULAD-608060-BBB-2013J,OULAD-608060,BBB,2013J,Withdrawn,Withdrawn,0
OULAD-611268-BBB-2013J,OULAD-611268,BBB,2013J,Completed,Fail,0
OULAD-1588208-BBB-2013J,OULAD-1588208,BBB,2013J,Withdrawn,Withdrawn,0
OULAD-2271743-BBB-2013J,OULAD-2271743,BBB,2013J,Withdrawn,Withdrawn,0
OULAD-2625752-BBB-2013J,OULAD-2625752,BBB,2013J,Withdrawn,Withdrawn,0
OULAD-252652-BBB-2014B,OULAD-252652,BBB,2014B,Completed,Pass,30
OULAD-266744-BBB-2014B,OULAD-266744,BBB,2014B,Withdrawn,Withdrawn,0
OULAD-340831-BBB-2014B,OULAD-340831,BBB,2014B,Completed,Pass,30
OULAD-473509-BBB-2014B,OULAD-473509,BBB,2014B,Completed,Fail,0
OULAD-483411-BBB-2014B,OULAD-483411,BBB,2014B,Completed,Fail,0
OULAD-487002-BBB-2014B,OULAD-487002,BBB,2014B,Completed,Distinction,30
OULAD-495324-BBB-2014B,OULAD-495324,BBB,2014B,Withdrawn,Withdrawn,0
OULAD-500279-BBB-2014B,OULAD-500279,BBB,2014B,Completed,Fail,0
OULAD-534830-BBB-2014B,OULAD-534830,BBB,2014B,Withdrawn,Withdrawn,0
OULAD-546202-BBB-2014B,OULAD-546202,BBB,2014B,Completed,Pass,30
OULAD-551515-BBB-2014B,OULAD-551515,BBB,2014B,Completed,Pass,30
OULAD-557351-BBB-2014B,OULAD-557351,BBB,2014B,Completed,Fail,0
OULAD-570177-BBB-2014B,OULAD-570177,BBB,2014B,Completed,Fail,0
OULAD-571540-BBB-2014B,OULAD-571540,BBB,2014B,Completed,Pass,30
OULAD-579255-BBB-2014B,OULAD-579255,BBB,2014B,Withdrawn,Withdrawn,0
OULAD-595047-BBB-2014B,OULAD-595047,BBB,2014B,Completed,Pass,30
OULAD-598313-BBB-2014B,OULAD-598313,BBB,2014B,Withdrawn,Withdrawn,0
OULAD-602011-BBB-2014B,OULAD-602011,BBB,2014B,Completed,Fail,0
