enrollment_id,weighted_grade
OULAD-8462-DDD-2013J,87.2
OULAD-8462-DDD-2014J,86.0
OULAD-29820-CCC-2014B,80.3
OULAD-29820-EEE-2014B,79.4
OULAD-34431-BBB-2013B,80.0
OULAD-36385-FFF-2013B,75.0
OULAD-48635-CCC-2014J,78.0
OULAD-48635-FFF-2014B,83.2
OULAD-49119-CCC-2014B,95.7
OULAD-49119-DDD-2014B,71.2
OULAD-52899-BBB-2013B,73.3
OULAD-52899-BBB-2013J,67.3
OULAD-53632-DDD-2014B,85.9
OULAD-53632-DDD-2014J,87.3
OULAD-53709-FFF-2013B,76.3
OULAD-53709-FFF-2014B,76.2
OULAD-54062-CCC-2014J,53.4
OULAD-54062-EEE-2013J,90.3
OULAD-54810-DDD-2014B,85.6
OULAD-54810-DDD-2014J,58.0
OULAD-70495-CCC-2014J,88.0
OULAD-70495-FFF-2013J,87.8
OULAD-71723-CCC-2014J,68.9
OULAD-71723-DDD-2014B,44.0
OULAD-76579-EEE-2013J,69.0
OULAD-76579-EEE-2014J,56.2
OULAD-77998-FFF-2013B,61.3
OULAD-77998-FFF-2014B,61.3
OULAD-83219-CCC-2014B,74.0
OULAD-83219-EEE-2014B,84.6
OULAD-86047-CCC-2014B,39.3
OULAD-86047-DDD-2013B,46.7
OULAD-96874-CCC-2014J,87.5
OULAD-96874-DDD-2014J,70.0
OULAD-101217-FFF-2013J,14.0
OULAD-101217-FFF-2014J,68.0
OULAD-105168-CCC-2014J,84.0
OULAD-105168-EEE-2013J,87.4
OULAD-107339-CCC-2014B,62.5
OULAD-107339-EEE-2013J,96.5
OULAD-111360-DDD-2013B,49.2
OULAD-111360-DDD-2013J,33.0
OULAD-119310-CCC-2014J,33.0
OULAD-119310-FFF-2014J,77.5
OULAD-124711-CCC-2014J,44.0
OULAD-126337-CCC-2014B,62.5
OULAD-126337-EEE-2013J,60.4
OULAD-129955-AAA-2013J,80.2
OULAD-129955-AAA-2014J,80.2
OULAD-132423-CCC-2014J,87.8
OULAD-132423-FFF-2014J,92.0
OULAD-139190-FFF-2013J,85.8
OULAD-142324-BBB-2013B,66.5
OULAD-142324-BBB-2014J,72.2
OULAD-151917-BBB-2013J,79.9
OULAD-151917-BBB-2014J,45.2
OULAD-155298-CCC-2014J,65.5
OULAD-155298-FFF-2013J,80.5
OULAD-160536-CCC-2014J,58.6
OULAD-160536-EEE-2013J,87.0
OULAD-165178-DDD-2013J,59.0
OULAD-165178-DDD-2014B,46.3
OULAD-167791-CCC-2014B,74.2
OULAD-167791-EEE-2014B,88.2
OULAD-171896-CCC-2014B,60.0
OULAD-171896-CCC-2014J,33.7
OULAD-171896-DDD-2013B,72.3
OULAD-183331-DDD-2014B,33.2
OULAD-185057-CCC-2014J,22.0
OULAD-185057-EEE-2014B,76.4
OULAD-188278-AAA-2013J,76.0
OULAD-188278-AAA-2014J,69.6
OULAD-188662-CCC-2014J,81.8
OULAD-188662-EEE-2014B,85.9
OULAD-189624-CCC-2014B,51.1
OULAD-189624-DDD-2013J,68.8
OULAD-190780-CCC-2014J,56.0
OULAD-190780-EEE-2014J,91.5
OULAD-191000-EEE-2013J,84.4
OULAD-191000-EEE-2014J,84.4
OULAD-193163-CCC-2014B,41.4
OULAD-193163-EEE-2014B,58.9
OULAD-198902-CCC-2014B,29.9
OULAD-198902-EEE-2014B,66.0
OULAD-199361-CCC-2014J,63.6
OULAD-199361-FFF-2013J,87.2
OULAD-205425-CCC-2014B,89.6
OULAD-205425-EEE-2013J,94.4
OULAD-227491-DDD-2013B,64.2
OULAD-228695-DDD-2013J,65.1
OULAD-228695-FFF-2013J,64.5
OULAD-231339-CCC-2014B,92.9
OULAD-231339-EEE-2014B,91.0
OULAD-233868-DDD-2014B,43.5
OULAD-233868-DDD-2014J,70.0
OULAD-237934-CCC-2014B,78.0
OULAD-237934-EEE-2014B,51.0
OULAD-240755-DDD-2013B,77.1
OULAD-240755-DDD-2014B,78.1
OULAD-242149-BBB-2013B,59.5
OULAD-242149-BBB-2013J,59.5
OULAD-242636-CCC-2014J,0.0
OULAD-252652-BBB-2013J,69.9
OULAD-252652-BBB-2014B,70.8
OULAD-256867-CCC-2014J,74.3
OULAD-256867-EEE-2014B,86.0
OULAD-260355-AAA-2013J,35.0
OULAD-260639-DDD-2013B,55.0
OULAD-263524-DDD-2013B,48.1
OULAD-263524-DDD-2013J,70.0
OULAD-266040-CCC-2014B,74.9
OULAD-266040-EEE-2014B,71.0
OULAD-266744-BBB-2013J,70.3
OULAD-266744-BBB-2014B,69.9
OULAD-266915-CCC-2014B,20.0
OULAD-266915-EEE-2013J,59.8
OULAD-267118-CCC-2014B,88.0
OULAD-267118-DDD-2014B,65.0
OULAD-267118-DDD-2014J,65.0
OULAD-271526-CCC-2014J,56.0
OULAD-271526-DDD-2013J,55.9
OULAD-272617-BBB-2013J,57.5
OULAD-272617-BBB-2014J,46.0
OULAD-276925-BBB-2013J,75.0
OULAD-276925-BBB-2014J,78.0
OULAD-279868-CCC-2014B,57.5
OULAD-279868-DDD-2013J,44.4
OULAD-283618-CCC-2014J,43.0
OULAD-283618-DDD-2013B,51.6
OULAD-284095-CCC-2014J,89.9
OULAD-284095-EEE-2014J,84.2
OULAD-285170-CCC-2014B,75.6
OULAD-285170-EEE-2014B,83.6
OULAD-286527-EEE-2013J,57.4
OULAD-286527-EEE-2014J,56.9
OULAD-287079-FFF-2013J,72.0
OULAD-287079-FFF-2014J,47.5
OULAD-289009-CCC-2014B,62.8
OULAD-289009-DDD-2013J,67.4
OULAD-290382-CCC-2014B,50.0
OULAD-290382-EEE-2013J,93.7
OULAD-291674-CCC-2014J,80.0
OULAD-291674-EEE-2014B,95.5
OULAD-293686-CCC-2014J,72.2
OULAD-293686-EEE-2014B,95.9
OULAD-300592-DDD-2014B,49.6
OULAD-300592-EEE-2013J,72.3
OULAD-303165-BBB-2014J,61.2
OULAD-303165-GGG-2013J,71.9
OULAD-303617-BBB-2013J,75.0
OULAD-303617-BBB-2014J,85.0
OULAD-305036-CCC-2014J,42.9
OULAD-305036-EEE-2013J,64.7
OULAD-308391-EEE-2014B,52.0
OULAD-314956-CCC-2014J,46.6
OULAD-314956-DDD-2013J,71.3
OULAD-319042-CCC-2014B,24.6
OULAD-319042-FFF-2014B,71.2
OULAD-325750-FFF-2013J,64.5
OULAD-325750-FFF-2014J,64.5
OULAD-329455-EEE-2014B,88.3
OULAD-331358-AAA-2013J,84.0
OULAD-331358-AAA-2014J,85.0
OULAD-333976-EEE-2013J,70.0
OULAD-333976-EEE-2014J,72.6
OULAD-335405-CCC-2014J,96.1
OULAD-335405-DDD-2013J,86.8
OULAD-339824-CCC-2014J,54.5
OULAD-339824-FFF-2014B,87.8
OULAD-340831-BBB-2013B,76.3
OULAD-340831-BBB-2014B,77.9
OULAD-340831-FFF-2014J,62.0
