student_id,display_name,program,program_source
OULAD-129955,Learner 129955,Applied Computing,Fictional demo enrichment
OULAD-188278,Learner 188278,Applied Computing,Fictional demo enrichment
OULAD-260355,Learner 260355,Data & Society,Fictional demo enrichment
OULAD-331358,Learner 331358,Business Analytics,Fictional demo enrichment
OULAD-2139353,Learner 2139353,Business Analytics,Fictional demo enrichment
OULAD-2318055,Learner 2318055,Data & Society,Fictional demo enrichment
OULAD-2429854,Learner 2429854,Applied Computing,Fictional demo enrichment
OULAD-2596621,Learner 2596621,Applied Computing,Fictional demo enrichment
OULAD-34431,Learner 34431,Data & Society,Fictional demo enrichment
OULAD-52899,Learner 52899,Data & Society,Fictional demo enrichment
OULAD-142324,Learner 142324,Applied Computing,Fictional demo enrichment
OULAD-242149,Learner 242149,Applied Computing,Fictional demo enrichment
OULAD-252652,Learner 252652,Applied Computing,Fictional demo enrichment
OULAD-340831,Learner 340831,Applied Computing,Fictional demo enrichment
OULAD-393327,Learner 393327,Data & Society,Fictional demo enrichment
OULAD-425817,Learner 425817,Data & Society,Fictional demo enrichment
OULAD-431071,Learner 431071,Applied Computing,Fictional demo enrichment
OULAD-476816,Learner 476816,Business Analytics,Fictional demo enrichment
OULAD-483411,Learner 483411,Data & Society,Fictional demo enrichment
OULAD-495324,Learner 495324,Data & Society,Fictional demo enrichment
OULAD-495875,Learner 495875,Business Analytics,Fictional demo enrichment
OULAD-526506,Learner 526506,Data & Society,Fictional demo enrichment
OULAD-528175,Learner 528175,Applied Computing,Fictional demo enrichment
OULAD-533512,Learner 533512,Applied Computing,Fictional demo enrichment
OULAD-534830,Learner 534830,Business Analytics,Fictional demo enrichment
OULAD-540530,Learner 540530,Business Analytics,Fictional demo enrichment
OULAD-546202,Learner 546202,Applied Computing,Fictional demo enrichment
OULAD-549873,Learner 549873,Data & Society,Fictional demo enrichment
OULAD-557351,Learner 557351,Business Analytics,Fictional demo enrichment
OULAD-1730702,Learner 1730702,Business Analytics,Fictional demo enrichment
OULAD-2300911,Learner 2300911,Applied Computing,Fictional demo enrichment
OULAD-151917,Learner 151917,Data & Society,Fictional demo enrichment
OULAD-156788,Learner 156788,Business Analytics,Fictional demo enrichment
